Transaction_ID,Date,Day,Day type,Product,Category,Quantity,Unit_Price,Total_Sales,Event
T0001,1/1/2025,Wednesday,weekday,Cheese,Dairy,1,6,6,New Year Sale
T0002,1/1/2025,Wednesday,weekday,Bananas,Fruits,5,2,10,New Year Sale
T0003,1/1/2025,Wednesday,weekday,Muffin,Bakery,3,4,12,New Year Sale
T0004,1/1/2025,Wednesday,weekday,Shampoo,Personal Care,2,8,16,New Year Sale
T0005,1/1/2025,Wednesday,weekday,Muffin,Bakery,5,4,20,New Year Sale
T0006,1/1/2025,Wednesday,weekday,Tea,Beverages,2,7,14,New Year Sale
T0007,1/1/2025,Wednesday,weekday,Cooking Oil,Groceries,6,12,72,New Year Sale
T0008,1/1/2025,Wednesday,weekday,Oranges,Fruits,3,4,12,New Year Sale
T0009,1/1/2025,Wednesday,weekday,Apples,Fruits,6,4,24,New Year Sale
T0010,1/1/2025,Wednesday,weekday,Water Bottle,Beverages,4,2,8,New Year Sale
T0011,1/1/2025,Wednesday,weekday,Chips,Snacks,5,4,20,New Year Sale
T0012,1/1/2025,Wednesday,weekday,Butter,Dairy,5,4,20,New Year Sale
T0013,1/1/2025,Wednesday,weekday,Cheese,Dairy,2,6,12,New Year Sale
T0014,1/1/2025,Wednesday,weekday,Coffee,Beverages,4,10,40,New Year Sale
T0015,1/1/2025,Wednesday,weekday,Flour,Groceries,5,5,25,New Year Sale
T0016,1/1/2025,Wednesday,weekday,Face Wash,Personal Care,7,9,63,New Year Sale
T0017,1/1/2025,Wednesday,weekday,Bread,Bakery,5,2,10,New Year Sale
T0018,1/1/2025,Wednesday,weekday,Cheese,Dairy,4,6,24,New Year Sale
T0019,1/1/2025,Wednesday,weekday,Toothpaste,Personal Care,1,5,5,New Year Sale
T0020,1/1/2025,Wednesday,weekday,Sugar,Groceries,5,6,30,New Year Sale
T0021,1/1/2025,Wednesday,weekday,Chocolate,Snacks,9,5,45,New Year Sale
T0022,1/1/2025,Wednesday,weekday,Shampoo,Personal Care,10,8,80,New Year Sale
T0023,1/1/2025,Wednesday,weekday,Flour,Groceries,4,5,20,New Year Sale
T0024,1/1/2025,Wednesday,weekday,Popcorn,Snacks,8,4,32,New Year Sale
T0025,1/1/2025,Wednesday,weekday,Cheese,Dairy,2,6,12,New Year Sale
T0026,1/1/2025,Wednesday,weekday,Chocolate,Snacks,10,5,50,New Year Sale
T0027,1/1/2025,Wednesday,weekday,Flour,Groceries,10,5,50,New Year Sale
